repo_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
mohitvenx/LOC-HACKATHON,1,3,2022-10-04T14:14:32Z,T22_034_han_shi_hao_CRDDC_2022_SourceCode,Python,3,13317
pranjal198/X-men-classifier,1,4,2021-06-07T21:07:15Z,,Python,68,1685
KentHan19980609/T22_034_han_shi_hao_CRDDC_2022_SourceCode,30,0,2017-02-08T11:15:05Z,,C++,7,8026
MKamyab1991/garage_quadcopter,30,0,2021-07-18T15:13:50Z,,Python,40,10748
YanLiang1102/dmlc-mxnet,1,2,2022-01-23T08:48:14Z,An end to end machine learning system with mlflow to predict whether a website is a phising website or not based on given set of indicators,Python,1560,775
arian1995/dgl1,30,0,2017-01-07T02:20:43Z,,C++,1,13084
sethusaim/phising-classifaction,2,0,2022-10-04T19:04:29Z,,Python,2,27446
GrassSunFlower/profile_mxnet,30,0,2020-12-24T21:56:53Z,,Python,4,105490
SaurabhNiket231/yolo_streamlit,0,0,2020-02-12T22:45:25Z,,Jupyter Notebook,28,107638
gaurav274/ray,2,2,2021-07-01T02:00:17Z,pytorch dreamer v2 implementation,Python,4,174
ajitkumarmohapatra79/Alla_all_codes,1,0,2021-03-03T02:56:39Z,,Python,9,49557
jamesborg46/pytorch-dreamerv2,1,0,2020-05-16T14:35:22Z,,HTML,68,8766
buidung2004/Deployment,1,0,2023-03-02T08:05:10Z,,Python,8,65580
jagangirisaballa/number_detection,30,0,2018-09-12T13:21:41Z,Open source platform for the machine learning lifecycle,Python,59,5466
mhh0318/ControlNetDuo,1,1,2021-10-22T09:15:29Z,A YOLOv5 and Image-Processing based Vehicle Type and License Plate Recognition System,Python,21,82350
eric-erki/mlflow,0,0,2023-01-24T14:51:09Z,,Python,3,1295
jadalmiro/aws_sagemaker,1,31,2020-10-12T10:04:58Z,Create interactive dashboards for your Convolutional Neural Networks with a single line of code!,Python,3,5663
nadinCodeHat/AutoVIS,1,0,2022-11-04T02:22:48Z,,,46,297780
hami987/DatabricksImageClassifierCNNMLOps,1,3,2022-11-19T10:11:11Z,,Python,1,121837
lucko515/cnn-raccoon,1,0,2022-12-08T14:40:41Z,基于yolov5算法的枯树识别,Python,4723,16222
CameronHildebrandt/328-a7,1,0,2023-02-23T16:52:20Z,We developed a web app which detect plant and show their medical uses from their leaves using image processing and machine learning,Python,756,53177
polakrit-pipi/cai-streamlit-demo,2,0,2020-01-04T15:07:36Z,,Python,109,31
JiaQingQiang/yolov5-identifytrees,1,0,2020-12-17T23:27:25Z,,Jupyter Notebook,638,25616
Dhairya7283/Plant-identification-for-medical-purpose-using-image-processing-and-machine-learning,1,0,2020-12-29T13:26:26Z,,Python,4835,305937
PimDijt/cartpole,2,0,2022-10-14T08:08:04Z,,Python,4,219135
vzn2000/big_data,1,0,2022-07-14T21:23:00Z,,Python,1,109825
Manjunatha1997/python_programs,2,0,2021-08-11T14:58:42Z,,Python,1,15061
PNUCSE/Capstone-2022-1-06,30,0,2022-11-26T04:21:12Z,"Proyecto final de la asignatura de Deep Learning Avanzado con el profesor Juan Carlos Perafan Villota. El proyecto consiste en la implementación de los módulos de atención ""SE: Squeeze-and-Excitation Networks"" y ""CBAM: Convolutional Block Attention Module"" y la explicabilidad de las inferencias con el método Grad-CAM",Python,13,33430
YY-GX/CBFIRL,6,0,2022-10-07T14:39:50Z,,Jupyter Notebook,9,211614
akiozihao/mmlab,30,0,2019-11-12T09:25:37Z,,Python,112,12437
jhonpineda/uao_YOLOv5_modulos_atencion,1,0,2022-02-15T06:33:14Z,정리되지 않은 코드,Python,163,164
workcom0/Zirraforming-Project,1,0,2022-04-07T16:35:18Z,,Jupyter Notebook,2427,24270
ShekharGaurav/MLFlow,1,5,2022-06-13T17:44:05Z,,Jupyter Notebook,745,8616
SNMHZ/study_raw,1,0,2021-01-11T05:11:26Z,,,2600,240
Nic-py/classification_ec2,1,0,2020-11-05T15:43:45Z,,Jupyter Notebook,3,242
jaimesabalimperial/jaisalab,1,0,2020-10-27T01:51:09Z,AutoML-Tools,Jupyter Notebook,61,67685
Nidhi2024/Artifacts_Classifier,1,0,2022-12-04T16:01:31Z,Classification of tooth decay,Python,28,51256
Dhruvi289/Artifacts_classification,1,0,2023-01-25T19:29:43Z,,Python,14,8700
jianzhnie/AutoML-Tools,1,0,2020-04-11T14:04:05Z,,Jupyter Notebook,16,199432
arombin/Classification-of-tooth-decay,1,0,2023-01-15T17:39:07Z,,Jupyter Notebook,184,45327
stefannica/zenml-gitflow,1,0,2021-11-12T17:04:58Z,This repo is about the big data project on lungs image classification ,HTML,202,441
saurabh9450150287/Handwritten-Text-Recognition,1,6,2021-04-15T14:53:11Z,,Python,16,2131
Stebin-17/FIRE-DETECTOR-USING-YOLOv5-AURDINO,2,1,2022-06-22T16:28:24Z,,Python,16,43108
MuhammadUsman94/Deep_Learning,1,0,2021-12-20T23:23:50Z,A sample container of Mlflow/Python for deployment to AWS Lambda for ML model serving.,Python,2,6
chris-chris/mlflow-tutorial,1,0,2021-03-07T00:10:49Z,,Jupyter Notebook,3,24490
thepbordin/Obstacle-Detection-for-Blind-people-Deployment,30,2806,2020-11-19T09:25:46Z,"ZenML 🙏: Build portable, production-ready MLOps pipelines. https://zenml.io.",Python,8,169397
vochicong/mlflow-lambda,1,0,2021-08-15T16:38:17Z,,Python,4075,3
Pragya2000/EEG-Brainwave-prediction,1,0,2023-01-21T06:19:03Z,,Python,10,926
zenml-io/zenml,1,0,2021-08-13T17:56:47Z,,Python,1730,18650
Santoshvelamala/DiabetesProgression,1,0,2022-08-27T12:48:25Z,,Jupyter Notebook,2,62
Lakaai/yolov5backup,1,0,2022-11-16T15:20:09Z,,Python,3,52882
chankyaajay/Fake-News-Classifier,0,0,2021-01-26T02:47:03Z,,HTML,1,85876
swynml/movie_rating_model,30,2,2020-08-02T12:16:04Z,,Python,13,63221
muneerah1992/Construction-management-YOLO-v5-with-GUI,30,0,2022-11-02T05:06:39Z,,Python,2,1277861
abdelatifsd/Yolla-app-demo,2,0,2021-03-22T19:34:02Z,,Jupyter Notebook,35,88
AmeerHajAli/ray2,1,0,2021-03-01T03:13:58Z,,Python,2,14699
itoyuimo/yolo,2,5,2021-12-07T20:05:14Z,,Python,534,304
bethmiecz/Question_Answering_SQuAD2.0,1,21,2021-03-30T07:50:14Z,Distractor-Aware Fast Tracking via Dynamic Convolutions and MOT Philosophy,Python,1,12903
Sachdw/The-Rock-Says,0,0,2020-08-20T16:50:26Z,,Python,817,493
parachutel/CoordinationGraphMARL,1,0,2020-11-28T11:47:59Z,Flask Project used to deploy a Keras model trained over Movielens Dataset.,Jupyter Notebook,1,15481
hqucv/dmtrack,0,0,2022-10-12T00:58:54Z,,Python,8,9573
Shikhar8990/dgl,1,0,2021-11-17T16:29:49Z,machine learning predict image from space,Jupyter Notebook,5,278996
arsundram/movie-app-api,1,0,2020-10-30T10:22:46Z,,,2,17
hieuit7/yolo5,1,0,2023-02-03T16:51:46Z,YOLOv5 labeling and detection web service with Flask and JavaScript,Python,417,113370
earthoer/ml_amazon_fromspace,30,2,2016-07-08T12:05:25Z,,C++,34,8239
v-crn/mlflow-sample,1,3,2021-09-07T16:16:31Z,One Bit at a Time: Impact of Quantisation on Neural Machine Translation,Jupyter Notebook,4237,2750
JustAToaster/labeling_and_detection_webservice,30,0,2020-07-25T19:59:36Z,curso azure-ml,Jupyter Notebook,17,63756
litoeknee/mxnet,30,4,2016-10-14T03:09:58Z,,Python,15,8031
marekninja/master-thesis,1,0,2021-04-28T22:05:16Z,,Python,1,33870
LazaroVercelli/azure-ml,1,0,2016-07-03T12:36:10Z,a framework improved from Mxnet,C++,7,88787
starimpact/mxnet_tk1,1,9,2021-11-30T01:19:40Z,,Python,17,182640
danil99152/DirectumTasks,1,0,2023-02-08T10:00:21Z,,Python,46,48049
Liuxg16/BrainMatrix,1,0,2021-10-24T03:01:26Z,Curso Reinforcement Learning ,Python,2,32405
bashendixie/ml_toolset,1,0,2020-12-17T15:05:39Z,,Python,3,85
rajgokul-it21/vehicle_detection,1,0,2022-12-22T03:04:18Z,,Jupyter Notebook,65,19254
givgramacho/Reinforcement-Learning-UFG-CEIA,1,0,2021-05-18T05:20:32Z,,JavaScript,2,83028
dojo515/MLFlow,2,1,2020-01-11T14:46:34Z,,Jupyter Notebook,4910,178091
funnybear681/StopLights,1,0,2023-02-09T16:47:17Z,,Python,5,27270
tariqaziz21/predicting-covid,1,0,2021-10-19T23:54:41Z,,PureBasic,2462,16038
shaheerakr/cheating-detector,30,0,2022-12-22T01:33:35Z,,Python,11,20776
mariswarycharan/pimples_detection_webapp,1,0,2023-03-02T07:33:28Z,yolov5 deployment via django web service,Python,793,1100
mauri9rivera/Brain-tumor-classification-task_CNN-model,1,0,2022-09-21T19:38:27Z,,Jupyter Notebook,9,284739
Neuxbane/yolov5,3,0,2021-03-09T22:42:02Z,,Jupyter Notebook,4,3690
andre-zh/django_yolov5,1,53,2017-07-22T21:28:47Z,Workshop for Spark and Databricks,HTML,1372,86591
tanielfranklin/wbpen,1,0,2021-08-05T00:03:39Z,,Jupyter Notebook,3,3670
RachitSharma2001/BPNet-DanQ,5,1,2020-11-23T12:14:33Z,,Jupyter Notebook,35,16470
dmatrix/spark-saturday,2,0,2018-09-19T14:43:01Z,,Jupyter Notebook,2,25118
bwbelljr/learn,1,0,2021-08-03T20:57:54Z,,Python,30,1267
contatc2/green_mood_tracker,7,261,2019-12-19T02:01:19Z,Code for Kaggle and Offline Competitions,Python,35,690
alxthm/S3R,2,4,2020-10-19T13:57:24Z,,Jupyter Notebook,17,12687
ravimandal/DataBricks_Learning,1,0,2022-01-18T23:27:28Z,,Python,3,94152
nyanp/nyaggle,1,0,2022-11-14T13:07:40Z,,Python,2412,5187
Paalar/friendly-enigma,1,0,2021-09-25T17:52:42Z,,Python,1,19479
kbenmus02/test_app_flask,1,0,2021-11-23T14:33:30Z,TaxiFareModel kaggle challenge,Python,7,11
abhayran/thesis,14,13,2018-10-20T21:24:57Z,https://beta.mxnet.io/,R,32,70475
riishiiiii/cat-and-dog-Classification,1,0,2018-03-15T19:39:56Z,Autoencoder for SNP prediciton,Python,62,4174
thomaslacour/TaxiFareModel,1,26,2019-02-10T13:52:13Z,Personal notes on cloud and machine learning :page_with_curl: :honeybee:,Jsonnet,7715,50692
mli/new-docs,1,0,2022-03-16T09:09:12Z,MlOps course,Jupyter Notebook,3536,1034
Hillerton/Keras_autoencoder,1,11,2022-01-07T15:17:21Z,,Python,1,1146
ddysher/arsenal,1,0,2022-11-14T15:43:59Z,,Jupyter Notebook,61,87063
BigDataSchoolRU/mlops-course,1,11,2018-10-20T08:01:12Z,Airflow POC demo : 1) env set up 2) airflow DAG 3) Spark/ML pipeline | #DE,Python,42,654
pacolecc/AzureDatabricks-MLOps,3,5,2021-08-10T02:48:48Z,Group 24's repository for software engineering honour's research project in testing self-driving vehicles.,Python,2979,651
MarianoCaccavale/Framework-GUI,1,0,2022-02-22T14:44:47Z,Model pipeline package for TaxiFare Kaggle challenge,Python,1,8
yennanliu/AirflowJob,0,0,2023-01-06T14:19:19Z,,Python,7257,2289
mushi333/2021-FIT4003-SBSE-for-self-driving-cars,1,1,2020-07-14T00:05:16Z,,Python,507,111
rubenrossbach/TaxiFareModel,1,0,2021-03-17T14:45:31Z,A bunch of random MLflow files in the name of practice and figuring out some staff ,Python,1,2178
hoangchieng282/mlops-pipeline,1,10,2021-11-06T06:34:04Z,,Python,60,58
bstriner/pytorch-igniter,30,0,2021-02-09T00:36:38Z,,Python,1,13042
ZithaChitra/mlflow_practice,1,0,2022-11-20T15:13:02Z,,Python,1218,307073
c60evaporator/mlflow_tutorials,1,0,2021-09-24T05:55:54Z,,Jupyter Notebook,2,3560
bioannidis/my_dgl,1,0,2022-12-23T05:21:57Z,,Python,1,440
HeeWoong97/jongseol,1,0,2022-09-09T23:51:33Z,Yolov5,Python,1,78241
saeedashraf/engageclients,2,0,2022-07-15T19:17:57Z,,Python,1,800
NghiGia/Fire_Detect,1,0,2021-04-20T21:27:39Z,,Python,4,17
TomasGit-1/TesisV2,15,0,2021-11-01T15:46:27Z,,HTML,8,19353
ncpaxton/old_255_main,0,0,2021-08-19T09:05:03Z,,Python,942,14
cchalc/mixed-dev-workflow,1,0,2021-01-19T22:42:23Z,,Python,5,165460
whylabs/whylogs-core,1,1,2021-01-05T07:08:31Z,,Python,47,19639
dawnche1998/tfjs_next_page_prediction,1,0,2019-08-16T16:04:53Z,A dockerized version of ml-flow deployed on AWS,Python,9,29
kiril-abramov/django-project,1,0,2018-10-09T06:40:39Z,,Python,43,184
bladesaber/mmcv_py35,1,20,2021-08-25T05:16:51Z,Deep Learning ❤️ OneFlow,Python,4,46
pschluet/ml-flow-aws,3,0,2022-10-20T18:24:45Z,🥇 A repository with the code created by the team 🦕paretodactyle during AKAI Code 2022. The project was awarded as the best prototype.,Python,1,567
engineeryashsaxena/mlflow-multipleversions,1,0,2022-10-07T14:49:22Z,,Python,250,190219
carefree0910/carefree-flow,1,0,2021-08-04T11:21:08Z,,Python,4,29
jkarolczak/akai-code-2022,1,1,2022-05-27T11:17:59Z,,Python,555,4524
sathish1856/YoloStreamLit,4,0,2021-05-09T10:19:15Z,,Jupyter Notebook,307,116519
huongd17at089/my_flask,1,1,2021-04-06T10:54:54Z,An App that can take a picture of a flower and return its name and a short description,Jupyter Notebook,97,51383
liuliu66/pathological_segmentation,2,0,2022-08-04T18:43:12Z,,Python,86,42
infoshareacademy/jdszr4-wdevs,2,19,2020-11-18T13:41:58Z,,Python,4,239
CormacS/FlowerRecognitionApp,1,0,2022-10-10T17:05:39Z,ball tracking system based on yolov5,Python,1,943
ShaikVasid/databricks-demo,1,0,2023-01-06T07:07:44Z,,Python,65,9856
e-mon/lish-moa,1,0,2021-05-24T09:20:21Z,Neural network solution to finding the minimum of two MNIST images.,Jupyter Notebook,5108,22632
heisenberg-kim/ball_tracking,1,0,2022-12-30T14:19:29Z,VART AI source code,Python,6,575615
Rajesh-mandal/demo,1,0,2023-01-26T08:46:51Z,,Python,114,14439
feldnerd/MNIST_FindingMino,1,0,2018-10-12T21:50:52Z,,JavaScript,4,578
ufotechco/vart-ai,1,0,2020-03-20T13:35:22Z,mlflow_project_tutorial,Python,1,2
prointegrasa/SIMONDC,30,0,2017-06-05T08:23:48Z,,C++,5,228071
ianvnaeger/FIND,0,2,2021-05-05T21:17:14Z,MLflow model flavor for managing visualizations as models.,HTML,1,22240
sengupti/tutorial,1,2,2022-04-06T10:29:58Z,,Python,9,900
tianyunfei/mxnet-windows,2,2,2020-04-07T16:10:58Z,,Jupyter Notebook,112,78831
MLflow-Vismod/mlflow-vismod,1,0,2019-05-10T19:19:18Z,Script de consultas a Influx y MySql DB,Python,26,311
OpenXLab-Edu/MMCV-Edu,1,30,2020-09-30T07:06:28Z,torch tutorial and paper implementation mainly about NLP,,5,711024
williamszk/statistical-learning,30,0,2017-09-06T19:02:43Z,,Python,3,13569
Ariel-Vako/SensoVal,2,0,2023-02-03T15:47:20Z,,Jupyter Notebook,10,44990
long8v/torch_study,1,0,2021-03-21T16:44:44Z,,Python,865,23796
bill-teng/mxnet-test,3,0,2021-03-16T13:27:43Z,,Jupyter Notebook,24,3291
TiaBerte/rl-for-dfl,1,0,2022-02-22T15:13:46Z,Estimating NYC taxi fares,Python,624,17
P-mir/Assess,1,0,2016-11-24T11:33:21Z,My MXNet,C++,11,73520
caiogasparine/azure-data-science-e2e,1,0,2021-04-28T12:27:25Z,MLOps for central Model repository using Azure DevOps,Python,8,12
TakitaB/TaxiFareModel,1,2,2022-12-28T13:49:20Z,,Python,2,13916
