repo_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc
jlebensold/flrl-ddpg,1,0,2017-08-16T06:41:12Z,Sharing unet models for hyperparameter searching,Python,7,4637
DCUSnSLab/skin_lesion,2,15,2020-03-27T11:16:38Z,"Code for ""Lifting Monocular Events to 3D Human Poses"" - CVPRw 2021",Python,5,33427
microns-ariadne/runet_code,1,0,2023-02-21T07:43:24Z,fall detection repository,Python,8,1068302
gianscarpe/event-based-monocular-hpe,1,0,2023-03-06T15:48:17Z,,Python,213,972
sarj7/fall_detection,2,1,2022-12-28T00:43:23Z,,Python,5942,94190
carrotFoxx/ultralytics,1,0,2022-09-20T10:52:22Z,,Python,49,28093
kmktu/drone_service,1,0,2022-11-03T19:07:29Z,,Python,5104,114293
skjsourabh95/BOB_Automated_Cheque_Processing,1,0,2023-02-16T09:06:37Z,Animal Care Project Dongseo University,Dart,1,51516
m-atmaca/v5track,1,0,2022-11-15T00:54:04Z,,Python,20,140344
ksairos/animal_care,30,4,2022-07-14T07:56:07Z,,Python,9,143968
tongjiaxuan666/Curling-tracking,1,0,2022-05-14T06:48:46Z,,Python,86,166
merlinepedra/RAY-1,1,0,2020-01-20T15:15:32Z,,Jupyter Notebook,2396,182
h-terao/hazuchi,1,0,2020-08-12T10:10:08Z,,Python,50,3251
sbysiak/HF-jets,10,0,2016-06-07T11:18:35Z,,Python,4078,6922
felipenunezb/qa_project,1,223,2023-01-11T19:39:12Z,"YOLOv8 Object Tracking using PyTorch, OpenCV and DeepSORT",Jupyter Notebook,40,85506
RKDSOne/Deep-Learning-Tutorials,1,4,2023-01-17T07:02:32Z,,Jupyter Notebook,4726,37658
MuhammadMoinFaisal/YOLOv8-DeepSORT-Object-Tracking,1,0,2020-08-07T11:42:38Z,Coherence evaluation for dialogue systems,Python,967,57915
noorkhokhar99/YOLOv8-Object-Detection-with-DeepSORT-Tracking,30,0,2016-11-01T22:34:08Z,,Python,7,29575
mrcmoresi/coherence_eval,1,2,2021-08-02T13:41:46Z,An implementation of the Grammar VAE Paper and new architecture to improve results,Python,23082,18486
jdehotin/Theano,1,0,2022-06-06T17:03:00Z,,Python,2486,1001
royee17/GrammarVae_Paper,1,1,2022-10-11T16:57:02Z,,Jupyter Notebook,6,664981
jburzy01/GNN,30,0,2020-10-13T16:05:59Z,,Python,2566,19510
s4mik4dr/test_ship_yolov5,2,5,2022-06-08T07:22:59Z,Reproducibility Repo for mvTCR paper,Jupyter Notebook,23,190462
noopurdhawan/transformers,1,2,2023-02-06T14:55:31Z,The code repository for AICity Challenge.,Python,41,162401
SchubertLab/mvTCR_reproducibility,1,0,2023-02-26T18:05:18Z,,Python,371,1055
cycv5/TBD,30,0,2016-07-22T03:24:04Z,,Python,50,28351
shehan1995/3d-detecton-bev,0,0,2017-05-02T12:16:22Z,Python deep learning tests,Python,137,175141
xblbaby/xbl-Theano,3,3,2021-09-29T05:33:49Z,Data Science Project on Ice Hockey (Code),Jupyter Notebook,1,122551
deepredict/untitled1,30,0,2022-11-14T08:41:56Z,modify yolo backbone/neck,Python,7,13336
Jawing/ift6758-project-template-main,30,335,2016-06-14T14:37:14Z,The RWTH extensible training framework for universal recurrent neural networks,Python,5,26106
TeanLee/yolov5-update,1,8,2023-01-12T08:23:30Z,"Определение количества позиций товара на витрине по фотографиям. (label-studio, yolov5, torch, rabbitmq, pika, docker-compose)",Jupyter Notebook,11,179427
rwth-i6/returnn,0,0,2016-01-11T02:59:49Z,,Python,1,68
Yyalexx/detecting-beer,1,0,2022-12-04T07:51:18Z,,Python,4,38327
gulby/minimal-django-file-upload-example,30,0,2018-03-31T03:57:06Z,,HTML,4,48767
Aldino168/yolov5-object-tracking,1,0,2020-02-19T11:13:10Z,a fork of main returnn repository ,Python,28,1803
andylawwj/DIGITS,2,0,2021-09-28T16:55:04Z,"Performed data wrangling from NHL api and Exploratory data analysis using Python. Built Boosting models like xgboost, lightGBM and make live game predictions of expected goals  using a flask and jupyter widget wrapped in docker image.",Jupyter Notebook,100,63988
papar22/returnn-my-branch,1,4,2023-02-06T09:54:42Z,,Python,4,825
DS-IFT6750-project-collaboration/Hockey-all-star-analytics,1,0,2023-01-26T23:30:03Z,closed loop materials discovery using error correction learning,Python,3,154583
anminhhung/Yolov8_tracking,1,0,2022-12-12T03:18:50Z,,Python,129,175905
hitarth64/TherML,1,0,2023-02-08T14:00:33Z,,Python,32,953
AlyssaJZ/sweetberry,30,0,2021-11-25T14:45:40Z,,Python,14,7217
ivrubtsov/yolo,1,4,2022-05-05T13:00:40Z,CArdiac SegmenTation with cOnstRaints (CASTOR) project,Python,21,148
EzSylester/DeepLearningTutorials-,1,0,2023-01-05T14:12:44Z,Accelerate prototyping of deep learning projects with JAX,Python,23878,90
vitalab/castor,1,2,2022-10-06T00:30:55Z,Similar scans retrieval for the National Lung Screening Trial (NLST) dataset. Implements the Momentum Contrast (MoCo) self-supervised learning algorithm.,Python,1,6884
h-terao/alopex,1,0,2023-03-01T03:42:29Z,,Python,46,2240
Miclin1024/NLST-Similarity-VAE,3,625,2019-02-21T06:40:46Z,LUKE -- Language Understanding with Knowledge-based Embeddings,Jupyter Notebook,41,4263
chenliuxing/-YOLOv5-7.0,2,2,2019-09-06T17:57:19Z,,Python,13,10144
studio-ousia/luke,1,2,2022-02-16T09:25:21Z,,Python,6,206115
matthew-z/neural-ranking,1,0,2021-03-11T18:28:17Z,,Python,58,4959
bennigeir/ice-luke,1,0,2017-02-04T02:23:53Z,theano develop-mode using Docker,Python,80,11402
DanielGlickmanTAU/summary_rogue_optimize,30,0,2020-08-16T06:14:09Z,,Python,88,16727
trianglecity/theano-develop-docker,30,0,2022-09-18T15:12:42Z,Project Files to import for Object Recognition,Python,21,6413
MauiDesign/HugginFaceTransformer,1,88,2016-03-15T16:16:58Z,,Jupyter Notebook,11,8168
ripark2/Project-Archaeus,1,6,2018-08-20T16:10:49Z,Time series DBN BP ARMA,Python,4866,33495
gogartom/TextMaps,4,0,2021-09-24T19:44:02Z,,Jupyter Notebook,2329,1616
asdfhalkehflkajdhf/Md-learn-Timeseries,1,0,2019-06-29T05:03:01Z,,Jupyter Notebook,874,3214
6758-Project/hockey,1,0,2023-02-22T23:54:01Z,,Python,4,1091571
D1vyanshGupta/icml18-jtnn-py3.6.7-pytorch1.0-rdkit-2018.09,1,0,2021-08-11T19:32:17Z,,Python,70,19
matech96/cifar10,1,2,2022-12-23T19:25:15Z,,Python,47,2322
oguzcanbekar/hakan_1,1,22,2014-06-26T03:14:13Z,Gaussian Process optimization algorithm for Hyperopt,Python,1,148
Bencpr/lightning_hydra_template,1,0,2015-07-13T22:38:58Z,,Python,158,613792
ahnGeo/nia_attnet,16,6179,2022-09-11T16:39:45Z,NEW - YOLOv8 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,3541,5514
hyperopt/hyperopt-gpsmbo,1,2,2019-05-17T07:49:09Z,Contribute to ChinaMM 2019,Python,9,63978
chrisvle/mooc-deep-learning,1,0,2020-05-04T14:08:23Z,,Python,15,198476
ultralytics/ultralytics,1,1,2021-10-28T17:13:32Z,Example of logging RLLib runs to Comet,Python,1,4
IVC-Projects/STMVE,6,0,2022-11-23T01:22:24Z,,Python,2,53383
mesakh123/imagepredict-linux,1,1,2021-04-11T12:53:12Z,,Python,1613,910
comet-ml/rllib-example,1,2,2022-06-08T15:22:42Z,,Jupyter Notebook,4,2043458
wasiwasi/intagral,1,2,2015-03-19T12:02:19Z,Code of my Master Thesis - Deep Learning applied to Phoneme Recognition,Python,8,23784
justchenpp/MA2L-TD,2,0,2022-10-27T03:07:19Z,,Python,183,200978
drdevinhopkins/hourly-report-neuralprophet,1,1,2022-10-29T10:46:10Z,,Jupyter Notebook,23,288254
niasla/Master-Thesis,1,0,2022-08-02T15:54:23Z,,Python,1,482
CoCoPIE-Group/MobileBERT-transformer,1,0,2015-04-01T19:01:47Z,,Python,211,29499
alexcbb/yolo-v8_ycb-video,30,0,2020-11-22T22:41:20Z,A mirror clone of the transformers library repository from GitHub user huggingface,Python,127,40115
Yu-Lingrui/Project-deployment-and-landing,1,1,2020-02-20T23:51:22Z,Partial re-implementation of fever models based on google language repo,Python,1,500
transformervsmlpmixer/Transformer_Vs_MLP_mixer,1,1,2022-11-21T15:24:31Z,[ 팀프로젝트 ] 차량 위변조 감지 기능을 탑재한 주차 관리 시스템 개발 프로젝트,Python,1599,235642
vpetrescu/molecules_proto_cnn,30,7,2018-07-18T06:53:24Z,Working Modified Caffe for AMD GPU's OpenCL for Windows 10 .,C++,32,42970
markusfleck/transformers-mirror,1,3,2012-02-20T21:20:45Z,my undergraduate thesis,Python,83,46160
EntilZha/fever,1,0,2023-01-28T10:54:13Z,Object tracker with yolov8,Python,1486,893
SHINDongHyeo/Anti-spoofing-car-project,2,0,2022-12-23T07:25:56Z,,Python,43,208251
abhiTronix/caffe-opencl-windows-amd,1,0,2018-01-26T18:48:34Z,Fap-code,C++,9,45595
hannahrivers/Thesis,1,1,2021-04-22T15:49:16Z,Analysis of different models for the detection of anomalies in multivariate time series,Python,15,1575
EIC-CV2023/yolov8-tracker,3,0,2016-03-22T23:02:59Z,,Python,635,40693
dee-coder/Yolo-FastApi,1,2,2014-03-24T02:58:39Z,my master graduate thesis code,Python,3,3308
SUNsung/fap,2,0,2021-03-23T15:26:27Z,,Python,81,79255
GastonGarciaGonzalez/Multivariate-Time-Series-Anomaly-Detection,1,1,2019-12-12T10:53:06Z,,Python,2,90
jenningsjin/Image-Recognition-Retrieval,1,3,2021-09-07T16:16:31Z,One Bit at a Time: Impact of Quantisation on Neural Machine Translation,Jupyter Notebook,25,2750
vinson0526/Master_Graduate_Thesis,30,0,2022-09-29T12:51:27Z,,Python,334,12983
Tomtimianker/SmBopEST,1,7,2022-11-29T12:30:19Z,Vehicle Counting Using Yolov8 and DeepSORT,Python,17,8490
WataruKudo0914/FraudulentUserDetection,1,1,2016-07-08T02:20:37Z,,Python,19,276415
marekninja/master-thesis,30,0,2021-06-03T13:46:30Z,,Python,7,159878
moumed/myylov5,1,3,2023-01-10T22:34:56Z,Analyzing NHL Games with Machine Learning.,Jupyter Notebook,24530,4236
DoganK01/YOLOV8-DeepSORT-Tracking-Vehicle-Counting,30,0,2019-05-18T17:01:10Z,,Python,1,8066
xifengbishu/KERAS2,10,0,2023-01-17T14:06:09Z,,Python,23,2272
coldenheart/123,1,0,2022-01-08T10:13:16Z,,Jupyter Notebook,67,69646
YujunZhong/hockey-game-prediction,1,0,2022-11-08T10:04:43Z,,Python,4963,13895
istefano82/ludwig_clone,3,4,2017-10-02T21:12:58Z,Theano and Pytorch - Training Statistics and Graph Visualization ,Python,324,774920
Rulial/ultralytics_cv_copy,7,3,2022-11-02T12:24:20Z,A project to graph the distribution of traffic flow in HCMC,Python,24641,1686
TerboucheHacene/gans-specialization-coursera,30,7184,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,132,262102
parthvinm/Person-Machine-Interaction,6,1,2019-12-16T09:55:27Z,,Python,165,203965
dendisuhubdy/ccw1_trainstats,0,0,2020-04-02T19:25:02Z,,Jupyter Notebook,2406,516
phuhuynhlean/projectTraffic,30,0,2016-07-22T23:42:59Z,,Python,8,28352
pycaret/pycaret,30,0,2022-11-23T09:03:15Z,,Python,13,13677
Y-oHr-N/autodl19,1,1,2021-07-05T05:17:24Z,,Jupyter Notebook,8,104217
Pamikk/rev-seg-mia,1,37,2021-04-20T03:56:11Z,CL-Gym: Full-Featured PyTorch Library for Continual Learning,Python,221,185
JayasreeBeera/Theano,1,93,2019-06-10T10:20:30Z,,Python,14,28
junwei9638/YOLOv7_Classification,1,0,2021-09-15T13:41:14Z,My project template. Use PyTorch Lightning and Hydra.,Python,16,131
curtkim/pytorch-first,30,2,2022-12-22T19:52:00Z,Detecting cards with Contrastive learning and YoLo-v5,Python,76,21231
imirzadeh/CL-Gym,1,8,2022-10-19T15:03:09Z,,Python,21,9531
RobinBruegger/PartiallyReversibleUnet,4,2,2018-06-04T14:51:36Z,,C++,86,42887
h-terao/project-template,1,6,2021-05-20T05:29:17Z,Summarization of Multimodal articles,Python,1545,4415
skylooop/CYLo_cards-Detection,2,0,2016-04-04T18:37:04Z,Information Retrieval Course Project,Jupyter Notebook,1,65180
athrunsunny/landmark-face,1,0,2021-04-14T09:42:22Z,,Python,1,14899
vohoaiviet/3dmm_cnn,3,0,2021-03-09T08:17:34Z,,Python,48,411
darthgera123/Multimodal-Summarization,1,0,2019-06-06T09:48:17Z,,Python,41,6763
PrinceP/Information-Retrieval,2,0,2021-02-22T22:26:53Z,,Jupyter Notebook,162,7048
efrat-safanov/vilio_with_captions,1,0,2013-08-11T14:59:18Z,add the crossmapnorm to the lenet,C++,25,6792
Sneha-Sreedhara/TextHide,1,6,2022-09-13T07:47:22Z,Crowdsensing-based Road Damage Detection Challenge (CRDDC2022),Python,9,74471
jgroschwitz/amr-labels,1,0,2023-02-06T17:21:08Z,Using Yolov8 to translate sign languages into text,Jupyter Notebook,5,930901
ab-transformer/transformer,1,12,2019-10-09T14:46:33Z,Code for Disentangle Align and Fuse for Multimodal and Zero-shot Image Segmentation,Python,13360,195
hch661100/lenet_fer2013_crm,1,0,2022-11-03T07:16:27Z,,Python,8,922
hehualin-tut/YPLNet,1,0,2022-11-29T05:19:41Z,,Python,51,78817
TKovaks78/Sign_Language_Translation_with_Yolov8,1,122,2016-11-27T23:56:14Z,"Evaluation code with models for the paper ""On the Quantitative Analysis of Decoder-Based Generative Models""",Python,3,62056
agis85/multimodal_segmentation,1,0,2021-05-30T18:56:31Z,,Python,2373,146
KendrewChan/CS4243_Proj,1,0,2022-12-26T09:14:48Z,,Python,14,1032
thinh-shito/asdasd,1,6,2023-02-25T14:12:03Z,该项目可用于做yolov5+reid识别，可用于做跨视频人员检测,Python,3,1450
tonywu95/eval_gen,1,1,2022-12-04T13:49:28Z,,Python,27,65
zhengzangw/pytorch-classification,2,1,2022-12-28T17:21:56Z,"This is the final project for Computer Vision, 2022 Fall. Given a clip containing in-the-wild chimpanzees, we want to know - where they are (detection), who they are (identification), and what they are doing (2D pose estimation).",Python,1843,1022
lDarryll/yolov5-seg-tools,1,2,2022-10-11T15:29:41Z,Working with YOLO for Computer Vision,Jupyter Notebook,2,48975
YINYIPENG-EN/yolov5_reid,1,0,2023-01-23T13:18:20Z,"YOLOv8 Object Tracking using PyTorch, OpenCV and DeepSORT",Jupyter Notebook,22810,37591
Erlemar/pytorch_tempest_pet_,1,0,2022-10-21T10:34:27Z,,Jupyter Notebook,1,571684
tcy63/CV_chimpanzee,2,2,2019-11-11T18:35:53Z,Companion repo to DeepForest for training large models from DeepForest python package.,Python,5001,28091
liyanse/Object_Detection,1,0,2022-05-30T19:54:18Z,,Python,19480,180
Devika03/YOLOv8-DeepSORT-Object-Tracking,1,1,2022-08-12T15:48:23Z,,Python,14,46
HeeWoong97/2022_jongseol,1,0,2023-01-23T10:05:52Z,Tweaking Ultralytics' Yolo8,Python,11,30
weecology/DeepForest_Model,1,0,2022-10-16T13:45:54Z,0.9145,Python,2,1089
ThierryJudge/anatomically-constrained-ssl,1,0,2022-10-15T14:12:11Z,Major Project,Python,187,931
mateuszwagner/py_project,1,0,2022-11-19T01:35:55Z,Generalization in Pruned Deep Neural Networks,Python,2,91
nayuta-ai/invertible-resnet-pytorch,1,0,2022-07-03T13:44:02Z,A semi-supervised learning collection built on JAX/Flax,Python,955,1376
giacomopiccinini/Yolo8,1,0,2018-12-05T04:09:33Z,,Jupyter Notebook,129,2282
Whaleyg/Street_by_yolo,1,1,2016-06-01T13:15:02Z,Simple experiment to explore a jacobian method for determining hidden unit intent.,Python,28,4279
AKIF30001/Repo1,1,1,2021-12-30T07:52:15Z,,Python,23069,1723
NguyenTriQuan/Pruned-DNNs,3,0,2022-01-21T02:28:46Z,,Python,11,11358
h-terao/Missel,1,0,2018-04-09T08:28:56Z,OCR code and doc to check client contract ,Jupyter Notebook,8,10916
MoozIiSP/DLToolbox,1,0,2019-02-12T19:25:08Z,,Jupyter Notebook,15,151945
davidbau/net-intent,1,0,2023-02-08T03:03:05Z,,Jupyter Notebook,53,27752
lshowway/Ered,1,1,2023-02-17T14:28:00Z,This is a API for yolov5 version7 detect.py,Python,163,853
nirav8403/Machine_Learning_A-Z,30,0,2017-02-10T09:04:57Z,,Python,2613,29572
manhcuogntin4/OCR-contract,1,0,2022-11-24T09:42:14Z,,Python,373,14254
MrRomo/Python-projects,0,2,2022-03-08T11:28:21Z,Introduce Vanet protocol 802.11p to a machine learning algorithm for contention window control originally implemented for Wifi,Python,115,993
saikumarbhukya/YOLOv8_Segmentation_DeepSORT_Object_Tracking-main,4,0,2022-11-09T15:01:04Z,,Python,6,208698
Ender-William/YoloDetectAPI,2,0,2020-01-03T22:44:14Z,BilderSkript automatically summarizes a lecture as a sequence of interesting images scenes.,HTML,22,5692
gundun/theano,1,0,2019-08-16T09:03:43Z,My research on improving Population Based Training.,Python,16,13809
weidong1/object_detection,0,0,2022-10-15T06:09:15Z,,Python,145,1094
limingliu-eit-kth-tub/Upwork_Project_2,1,0,2020-05-13T07:24:25Z,,Jupyter Notebook,1,40621
charliebobmiller/ECEN4273-Project2,1,4,2022-01-04T09:20:49Z,CasVAE for molecule generation via reaction trees,Python,2,58708
